place,place_address,station_name,station_address,distance
Instalación Deportiva Municipal Básica Carlos II,"CALLE CARLOS II 4 con Austria, 5",Bicipark Recuerdo,"Calle Hiedra, 26",4918193.34
Instalación Deportiva Municipal Básica Carlos Solé,CALLE CARLOS SOLE 19,Bicipark Recuerdo,"Calle Hiedra, 26",4914579.04
Instalación Deportiva Municipal Básica Carmen Amaya,AVENIDA DOCTOR GARCIA TAPIA 28-30,Bicipark Recuerdo,"Calle Hiedra, 26",4916799.78
Instalación Deportiva Municipal Básica Caronte,CALLE CARONTE 4,Bicipark Recuerdo,"Calle Hiedra, 26",4915640.89
Instalación Deportiva Municipal Básica Carril del Conde,"CALLE CARRIL DEL CONDE C/V CALLE DEL PUERTO REAL, 7 ",Bicipark Recuerdo,"Calle Hiedra, 26",4921950.8
Instalación Deportiva Municipal Básica Carrión de los Condes,PLAZA TEMPLARIOS 4,Bicipark Recuerdo,"Calle Hiedra, 26",4923755.78
Instalación Deportiva Municipal Básica Casa Campo,PARQUE CASA DE CAMPO s/n Explanada de la Casa de Campo,Bicipark Recuerdo,"Calle Hiedra, 26",4918167.71
Instalación Deportiva Municipal Básica Casa Campo I Lago,PARQUE CASA DE CAMPO s/n Explanada junto al lago,Bicipark Recuerdo,"Calle Hiedra, 26",4918146.65
Instalación Deportiva Municipal Básica Casa Campo II Teleférico,PARQUE CASA DE CAMPO s/n Subida al teleférico-Pza. Casón,Bicipark Recuerdo,"Calle Hiedra, 26",4918477.24
Instalación Deportiva Municipal Básica Casa Campo III,PARQUE CASA CAMPO S/N Paseo Piñoneros - junto a pirámide,Bicipark Recuerdo,"Calle Hiedra, 26",4919067.6
Instalación Deportiva Municipal Básica Casa Campo IV,PARQUE CASA CAMPO S/N Junto a la M-30 a la altura del C.D.M. José María Cagigal,Bicipark Recuerdo,"Calle Hiedra, 26",4919677.05
Instalación Deportiva Municipal Básica Casalarreina,CALLE CASALARREINA 28,Bicipark Recuerdo,"Calle Hiedra, 26",4916172.69
Instalación Deportiva Municipal Básica Casino de la Reina,CALLE CASINO 3,Bicipark Recuerdo,"Calle Hiedra, 26",4916646.65
Instalación Deportiva Municipal Básica Castroserna,CALLE CASTROSERNA 2,Bicipark Recuerdo,"Calle Hiedra, 26",4916509.92
Instalación Deportiva Municipal Básica Cazorla,CALLE IBROS 3,Bicipark Recuerdo,"Calle Hiedra, 26",4912901.95
Instalación Deportiva Municipal Básica Cementerio Civil,AVENIDA DAROCA 101,Bicipark Recuerdo,"Calle Hiedra, 26",4917585.89
Instalación Deportiva Municipal Básica Cerro Blanco,"CALLE ALBARDIN C/V CALLE CERRO BLANCO, 30 7 c/v Cerro Blanco, 30",Bicipark Recuerdo,"Calle Hiedra, 26",4913729.22
Instalación Deportiva Municipal Básica Cerro Cabezuelos,CALLE VILLALOBOS 46,Bicipark Recuerdo,"Calle Hiedra, 26",4913222.41
Instalación Deportiva Municipal Básica Cerro Negro,CALLE CERRO NEGRO 5,Bicipark Recuerdo,"Calle Hiedra, 26",4915250.28
Instalación Deportiva Municipal Básica Circuito Natural Footing Retiro,PARQUE EL RETIRO ,Bicipark Recuerdo,"Calle Hiedra, 26",4917444.58
Instalación Deportiva Municipal Básica Circuito de Footing Casa de Campo,PARQUE CASA DE CAMPO ,Bicipark Recuerdo,"Calle Hiedra, 26",4918366.84
Instalación Deportiva Municipal Básica Ciudad Pegaso I,CALLE UNO S/N,Bicipark Recuerdo,"Calle Hiedra, 26",4920511.8
Instalación Deportiva Municipal Básica Ciudad Pegaso II,CALLE SEIS S/N,Bicipark Recuerdo,"Calle Hiedra, 26",4920382.34
Instalación Deportiva Municipal Básica Ciudad Pegaso III,CALLE ONCE S/N,Bicipark Recuerdo,"Calle Hiedra, 26",4919959.93
Instalación Deportiva Municipal Básica Ciudad de Los Ángeles,CALLE ANOETA S/N Parque ciudad de los Ángeles,Bicipark Recuerdo,"Calle Hiedra, 26",4910607.25
Instalación Deportiva Municipal Básica Clara del Rey,CALLE CLARA DEL REY 61,Bicipark Recuerdo,"Calle Hiedra, 26",4920751.33
Instalación Deportiva Municipal Básica Club de Petanca Esperanza de Canilllas,CALLE SILVANO 63 c/v Andorra,Bicipark Recuerdo,"Calle Hiedra, 26",4921986.95
Instalación Deportiva Municipal Básica Club de Petanca Peonias,CALLE PEONIAS 2,Bicipark Recuerdo,"Calle Hiedra, 26",4920815.9
Instalación Deportiva Municipal Básica Cocheras (Ciudad Lineal),CALLE SAN LAMBERTO s/n,Bicipark Recuerdo,"Calle Hiedra, 26",4917934.94
Instalación Deportiva Municipal Básica Cocheras (Retiro),CALLE COCHERAS 1,Bicipark Recuerdo,"Calle Hiedra, 26",4915732.61
Instalación Deportiva Municipal Básica Colombia,CALLE COLOMBIA 59,Bicipark Recuerdo,"Calle Hiedra, 26",4921998.69
Instalación Deportiva Municipal Básica Colonia Euskalduna,CALLE HERMANDAD DE DONANTES DE SANGRE 7,Bicipark Recuerdo,"Calle Hiedra, 26",4910810.85
Instalación Deportiva Municipal Básica Colonia Marconi,AVENIDA MARCONI s/n,Bicipark Recuerdo,"Calle Hiedra, 26",4908474.14
Instalación Deportiva Municipal Básica Colonia San Cristóbal de Los Ángeles,CALLE ROCAFORT s/n Detrás de E. I. Los Pinos.,Bicipark Recuerdo,"Calle Hiedra, 26",4909239.83
Instalación Deportiva Municipal Básica Colonia Sierra del Valle,CALLE PAYASO FOFO 9,Bicipark Recuerdo,"Calle Hiedra, 26",4914484.56
Instalación Deportiva Municipal Básica Colonia los Taxistas,CALLE SIERRA DE CUERDA LARGA 41,Bicipark Recuerdo,"Calle Hiedra, 26",4915465.43
Instalación Deportiva Municipal Básica Concejal Gabriel Fernández (Parque Cuña Verde),CALLE CUART DE POBLET 6 c/v Duquesa de Parcent,Bicipark Recuerdo,"Calle Hiedra, 26",4915938.97
Instalación Deportiva Municipal Básica Conde Duque,CALLE SANTA CRUZ DE MARCENADO 21,Bicipark Recuerdo,"Calle Hiedra, 26",4919124.43
Instalación Deportiva Municipal Básica Condesa de Venadito,CALLE CONDESA DE VENADITO 7,Bicipark Recuerdo,"Calle Hiedra, 26",4920466.83
Instalación Deportiva Municipal Básica Cordel de Pavones,CALLE CORDEL DE PAVONES 11,Bicipark Recuerdo,"Calle Hiedra, 26",4915202.69
Instalación Deportiva Municipal Básica Cordel de Pavones I,CALLE CORDEL DE PAVONES 9,Bicipark Recuerdo,"Calle Hiedra, 26",4916166.93
Instalación Deportiva Municipal Básica Corregidor Diego de Valderrábano,CALLE CORREGIDOR DIEGO DE VALDERRABANO 24,Bicipark Recuerdo,"Calle Hiedra, 26",4916564.25
Instalación Deportiva Municipal Básica Cuevas de Almanzora,CALLE MOJACAR 2,Bicipark Recuerdo,"Calle Hiedra, 26",4924310.31
Instalación Deportiva Municipal Básica Cuña Verde (Villaamil),CALLE VILLAAMIL C/V CAMINO DEL CHORRILLO 90,Bicipark Recuerdo,"Calle Hiedra, 26",4923238.66
Instalación Deportiva Municipal Básica Cárcavas Oeste I,CALLE CARMEN RICO GODOY 40,Bicipark Recuerdo,"Calle Hiedra, 26",4924216.35
Instalación Deportiva Municipal Básica Cárcavas Oeste II,CALLE SAN ANDRES DE RABANEDO 1,Bicipark Recuerdo,"Calle Hiedra, 26",4924291.35
Instalación Deportiva Municipal Básica Daniel Casero Gómez (antiguo Sangenjo),CALLE SANGENJO 42,Bicipark Recuerdo,"Calle Hiedra, 26",4925668.29
Instalación Deportiva Municipal Básica David González Rubio - Pradolongo,CALLE DOCTOR TOLOSA LATOUR 14,Bicipark Recuerdo,"Calle Hiedra, 26",4913289.28
Instalación Deportiva Municipal Básica Dehesa del Príncipe,AVENIDA ARQUEROS 29,Bicipark Recuerdo,"Calle Hiedra, 26",4914293.89
Instalación Deportiva Municipal Básica Diana,CALLE GALEON 25,Bicipark Recuerdo,"Calle Hiedra, 26",4921291.22
Instalación Deportiva Municipal Básica Doctor Cirajas,CALLE DOCTOR CIRAJAS 3,Bicipark Recuerdo,"Calle Hiedra, 26",4919290.67
Instalación Deportiva Municipal Básica Doctor Vallejo-Nájera,CALLE GASOMETRO 32 c/v Vallejo Nájera,Bicipark Recuerdo,"Calle Hiedra, 26",4916164.92
Instalación Deportiva Municipal Básica Drácena,CALLE DRACENA 42,Bicipark Recuerdo,"Calle Hiedra, 26",4922714.87
Instalación Deportiva Municipal Básica Duque de Sevilla,CALLE DUQUE DE SEVILLA 1,Bicipark Recuerdo,"Calle Hiedra, 26",4920293.43
Instalación Deportiva Municipal Básica Echegaray,CALLE ENCOMIENDA DE PALACIOS 324,Bicipark Recuerdo,"Calle Hiedra, 26",4915033.45
Instalación Deportiva Municipal Básica El Bosco,CALLE EL BOSCO 14 frente Ramón Pérez de Ayala,Bicipark Recuerdo,"Calle Hiedra, 26",4915629.47
Instalación Deportiva Municipal Básica El Bosque,PLAZA GOLMAYO 17,Bicipark Recuerdo,"Calle Hiedra, 26",4922981.3
Instalación Deportiva Municipal Básica El Capricho I,PASEO ALAMEDA DE OSUNA 48,Bicipark Recuerdo,"Calle Hiedra, 26",4921080.56
Instalación Deportiva Municipal Básica El Capricho II,PASEO ALAMEDA DE OSUNA 46,Bicipark Recuerdo,"Calle Hiedra, 26",4921081.36
Instalación Deportiva Municipal Básica El Cruce,CALLE SANTIAGO AMON 6y8,Bicipark Recuerdo,"Calle Hiedra, 26",4910142.37
Instalación Deportiva Municipal Básica El Espinillo I,CALLE TERTULIA 7,Bicipark Recuerdo,"Calle Hiedra, 26",4911531.86
Instalación Deportiva Municipal Básica El Espinillo III,CALLE UNANIMIDAD 39,Bicipark Recuerdo,"Calle Hiedra, 26",4911233.8
Instalación Deportiva Municipal Básica El Parque,PASEO COMANDANTE FORTEA 25,Bicipark Recuerdo,"Calle Hiedra, 26",4918958.63
Instalación Deportiva Municipal Básica El Pedernoso - Parque de Villa Rosa - Paco Caño,CALLE PEDROÑERAS (cubierta P.A.R.) 42,Bicipark Recuerdo,"Calle Hiedra, 26",4922755.31
Instalación Deportiva Municipal Básica El Torero,CALLE TORERO C/V CALLE ANTONIO LÓPEZ 10 c/v Antonio López (Parque El Torero),Bicipark Recuerdo,"Calle Hiedra, 26",4915037.28
Instalación Deportiva Municipal Básica El Vandel,CALLE FLORENCIO CANO CRISTOBAL 9 esq. Pasaje Poveda,Bicipark Recuerdo,"Calle Hiedra, 26",4916460.71
Instalación Deportiva Municipal Básica El Yesero,CALLE EL YESERO 1,Bicipark Recuerdo,"Calle Hiedra, 26",4913239.8
Instalación Deportiva Municipal Básica Electra,CALLE CRONOS 65,Bicipark Recuerdo,"Calle Hiedra, 26",4919786.41
Instalación Deportiva Municipal Básica Enrique Tierno Galván,PARQUE ENRIQUE TIERNO GALVAN ,Bicipark Recuerdo,"Calle Hiedra, 26",4915167.25
Instalación Deportiva Municipal Básica Eros,CALLE EROS 6,Bicipark Recuerdo,"Calle Hiedra, 26",4914971.01
Instalación Deportiva Municipal Básica Esfinge,CALLE ESFINGE 60 c/v Circe,Bicipark Recuerdo,"Calle Hiedra, 26",4919822.65
Instalación Deportiva Municipal Básica Esperanza I - Agrupación Deportiva Esperanza,CALLE SILVANO 65,Bicipark Recuerdo,"Calle Hiedra, 26",4922032.64
Instalación Deportiva Municipal Básica Esperanza II,CALLE SILVANO 61,Bicipark Recuerdo,"Calle Hiedra, 26",4921943.66
Instalación Deportiva Municipal Básica Estanque de las Tormentas,CALLE ARROYO DE POZUELO 6,Bicipark Recuerdo,"Calle Hiedra, 26",4922096.78
Instalación Deportiva Municipal Básica Estefanita,CALLE ESTEFANITA 7 Detrás del CEIP El Greco,Bicipark Recuerdo,"Calle Hiedra, 26",4909632.94
Instalación Deportiva Municipal Básica Estíbaliz,CALLE ESTIBALIZ 30,Bicipark Recuerdo,"Calle Hiedra, 26",4923144.42
Instalación Deportiva Municipal Básica Euterpe,CALLE EUTERPE 1,Bicipark Recuerdo,"Calle Hiedra, 26",4920267.16
Instalación Deportiva Municipal Básica Eva Duarte,CALLE DOCTOR GOMEZ ULLA 9,Bicipark Recuerdo,"Calle Hiedra, 26",4918912.33
Instalación Deportiva Municipal Básica Evangelios-Almendrales,CALLE EVANGELIOS 4,Bicipark Recuerdo,"Calle Hiedra, 26",4913993.75
Instalación Deportiva Municipal Básica Fermín Caballero,CALLE FERMIN CABALLERO 88,Bicipark Recuerdo,"Calle Hiedra, 26",4924778.49
Instalación Deportiva Municipal Básica Francisco Laguna,CALLE FRANCISCO LAGUNA 26,Bicipark Recuerdo,"Calle Hiedra, 26",4914558.36
