place,place_address,station_name,station_address,distance
Instalación Deportiva Municipal Básica Miguel Riesco,CALLE MIGUEL RIESCO 7,Carlota O’Neill,Calle Carlota O'Neill nº 32,2560.85
Instalación Deportiva Municipal Básica Miguel Riesco - Ramón Power,CALLE MIGUEL RIESCO 1,Carlota O’Neill,Calle Carlota O'Neill nº 32,2476.18
Instalación Deportiva Municipal Básica Miguel Yuste,CALLE MIGUEL YUSTE  c/v Emilio Muñoz,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,1643.73
Instalación Deportiva Municipal Básica Minaya,CALLE MINAYA 5,Carlota O’Neill,Calle Carlota O'Neill nº 32,2943.69
Instalación Deportiva Municipal Básica Mirador de la Reina (Cerro Minguete),CALLE MIRADOR DE LA REINA 2 c/v Cerro Minguete,Pedro Rico,Calle Pedro Rico nº 4,3332.99
Instalación Deportiva Municipal Básica Mirasierra,CALLE NURIA 83,Pedro Rico,Calle Pedro Rico nº 4,2506.34
Instalación Deportiva Municipal Básica Molino,PASEO MOLINO 2,Legazpi,Calle Bolívar nº 3,109.54
Instalación Deportiva Municipal Básica Mondariz,PLAZA MONDARIZ 1,Pedro Rico,Calle Pedro Rico nº 4,1456.1
Instalación Deportiva Municipal Básica Monovar,CALLE MONOVAR 3,Chamartín,Calle Rodríguez Jaén nº 40,2323.12
Instalación Deportiva Municipal Básica Montalbos,CALLE MONTALBOS 14,Carlota O’Neill,Calle Carlota O'Neill nº 32,2511.53
Instalación Deportiva Municipal Básica Montecarmelo,CALLE MONASTERIO DE EL PAULAR 138,Pedro Rico,Calle Pedro Rico nº 4,2381.01
Instalación Deportiva Municipal Básica Montecarmelo McDonald´s,AVENIDA MONTECARMELO 1,Pedro Rico,Calle Pedro Rico nº 4,2416.14
Instalación Deportiva Municipal Básica Mártires Maristas,AVENIDA MARTIRES MARISTAS 2 c/v Antonio Machado,Francos Rodríguez,Calle Francos Rodríguez nº 62,1169.3
Instalación Deportiva Municipal Básica Nevado de Cumbal,CALLE NEVADO DEL CUMBAL 4,Carlota O’Neill,Calle Carlota O'Neill nº 32,3217.02
Instalación Deportiva Municipal Básica Nicolasa Gómez,CALLE NICOLASA GOMEZ 1,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,2735.82
Instalación Deportiva Municipal Básica Novecento,CALLE NOVECENTO 6,Concordia,Calle Arroyo del Olivar nº 6,2094.71
Instalación Deportiva Municipal Básica Nuestra Señora de Loreto,CALLE TIMON 16,Carlota O’Neill,Calle Carlota O'Neill nº 32,6236.67
Instalación Deportiva Municipal Básica Nuestra Señora de la Paloma,CARRERA SAN FRANCISCO 4,Plaza de los Carros,Carrera de San Francisco nº 1,68.1
Instalación Deportiva Municipal Básica Nueva Esperanza,CALLE ANOETA 1,Glorieta de Cádiz,Calle Antonio López nº 129,4075.5
Instalación Deportiva Municipal Básica Ontanilla,AVENIDA LOS POBLADOS  C/V Ontanilla,San Delfín,Calle San Delfín nº 9,2811.56
Instalación Deportiva Municipal Básica Orcasur II,AVENIDA ORCASUR 53,Glorieta de Cádiz,Calle Antonio López nº 129,2613.02
Instalación Deportiva Municipal Básica Orión-Jupiter,CALLE ORION 52,Carlota O’Neill,Calle Carlota O'Neill nº 32,6865.47
Instalación Deportiva Municipal Básica Oscar y Jesús,CALLE SOLEDAD CAZORLA 22,Caramuel,Calle Caramuel nº 51,5177.37
Instalación Deportiva Municipal Básica Oyarzun,PLAZA OYARZUN 1,Glorieta de Cádiz,Calle Antonio López nº 129,2659.9
Instalación Deportiva Municipal Básica P.A.R. Antonio López,CALLE ANTONIO LOPEZ 27,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,381.33
Instalación Deportiva Municipal Básica P.A.R. Avda. Marqués de Corbera,AVENIDA MARQUES DE CORBERA 62,Marqués de Corbera 52,Avenida Marqués de Corbera nº 52,172.88
Instalación Deportiva Municipal Básica P.A.R. Avenida Rafaela Ybarra,AVENIDA RAFAELA YBARRA 51,Glorieta de Cádiz,Calle Antonio López nº 129,1312.5
Instalación Deportiva Municipal Básica P.A.R. Manuel Noya,CALLE MANUEL NOYA 2 junto Puente Los Capuchinos,San Delfín,Calle San Delfín nº 9,683.28
Instalación Deportiva Municipal Básica P.A.R. Ramón Gómez de la Serna,CALLE RAMON GOMEZ DE LA SERNA 49,Pedro Rico,Calle Pedro Rico nº 4,3084.26
Instalación Deportiva Municipal Básica Pablo Casals,PASEO ERMITA DEL SANTO 10,Puerta del Ángel,Plaza Puerta del Ángel nº 4,413.63
